"RT @DrGPradhan: INPUT @AmitShah 

Darjeeling booth level data of BJP has been leaked to TMC

Money has changed hands

@BJP4Bengal",vijaymodi_81,,[]
"Dear @BJP4India let's unite. For us India first, BJP first, NaMo first. Let's bury our differences (if any). No rel… https://t.co/3Q0AnMXcNc",rrajeshbarde,India,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",BilalUttawar,,[]
RT @vschanna: Even otherwise JDS did not have any chance in Udupi....With this insult they can give tarpana to their chances.... This will…,SudiJahagirdar,🇮🇳,[]
BJP did lot many good things which people are being benefitted with we should also have the courage to speak about… https://t.co/HSzZb8PEbH,ajit_1_77,,[]
"RT @DrGPradhan: INPUT @AmitShah 

Darjeeling booth level data of BJP has been leaked to TMC

Money has changed hands

@BJP4Bengal",Rashtrakuta_,,[]
"@Swamy39 sir what will be the BJP count in 17 lok sabha,  your opinion?",NilkJo,,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",Vikashk69916707,,[]
RT @Shehzad_Ind: Intolerant TMC already tried to silence @SuPriyoBabul over this song! I mean no action on calling @narendramodi a chor or…,nilaypatelkarad,,[]
"RT @pdinakar: @narendramodi stood like a rock with AP. 

The Old Fox CBN used his media to spread lies that AP is deprived. 

AP has got mo…",shanmukhssv,"Vishakhapatnam, India",[]
RT @CPIM_WESTBENGAL: Campaign kicks off at Jhargram LS Constituency in support of LF nominated CPIM candidate Comrade Deblina Hembram. Defe…,advsghoshbkp,"Kolkata, India",[]
Good decision - they failed to return the state govt to power: must be sidelined. They are not Rahul Gandhis to con… https://t.co/ti1j4GaTCC,Gurubhat_,india,[]
RT @INCIndia: This young woman entrepreneur has a few words on the misbehaviour of the BJP Karyakartha’s. Listen in: https://t.co/kPuhVFGrWD,NeerajCongressi,Lucknow/Ghaziabad/Noida,[]
"RT @SuPriyoBabul: With immense pleasure, I want to give you all a sneak-peak of the BJP Campaign Song recording. Giving my voice to Amit Ch…",DilipIndia1st,,[]
